Symbol	Description
HMI	Hinterland Metals Inc
HMT	Halmont Properties Corp
HMX	Hunt Mining Corp
HOC	Hunter Oil Corp
HPL	Horizon Petroleum Ltd
HPQ	Hpq Silicon Resources Inc
HPY	Happy Creek Minerals Ltd
HRC	Helio Res Corp
HRE	Stans Energy Corp
HRH	Hillcrest Petroleum Ltd
HRL	Hansa Resources Limited
HSI	H Source Holdings Ltd
HTC	Htc Purenergy Inc
HTL	Hamilton Thorne Ltd
HTR	Heatherdale Resources Ltd
HU.P	Huffington Capital Corporation
HUD	Hudson Resources Inc
HVG	Harvest Gold Corp
HVST	Harvest One Cannabis Inc
HVST.DB	Harvest One Cannabis Inc 8.0 Pct Debs
HVST.WT	Harvest One Cannabis Inc Wts
HWY	Highway 50 Gold Corp
HXC	Hfx Holding Corp
IB	Ibc Advanced Alloys Corp
IBC	International Bethlehem Mining Corp
IBT	Ibex Technologies Inc
IC	International Corona Capital Corp
ICAU	Intercontinental Gold and Metals Ltd.
ICC	Icc Labs Inc.
ICI.P	Inceptus Capital Ltd
ICL	Itasca Capital Ltd
ICM	Iconic Minerals Ltd
ICO	Ico Therapeutics Inc
ID	Identillect Technologies Corp
IDH.H	Idg Holdings Inc.
IDI	Indico Resources Ltd
IDL	Imaging Dynamics Company Ltd
IDM	Idm Mining Ltd
IEI	Imperial Equities Inc
IES	Intercept Energy Services Inc
IEX.H	Icon Exploration Inc
IFD.H	Intrinsic4D Inc
IFOS	Itafos
IFR	International Frontier Resources Corpora
IFX	Imaflex Inc
IGAM	Integrity Gaming Corp.
IGC.H	Igc Resources Inc
IGO	Independence Gold Corp
IGP	Imperial Ginseng Products Ltd
IGX	Intelgenx Technologies Corp
IGX.DB	Intelgenx Technologies Corp 8.0 Pct Debs
IKM	Ikkuma Resources Corp
ILA	Ilookabout Corp
ILC	International Lithium Corp
ILI	Infinite Lithium Corp.
IMA	I-Minerals Inc
IMEX	Imex Systems Inc
IMH	Invictus MD Strategies Corp
IMI	International Millennium Mining Corp
